type	latitude	longitude	altitude (m)	name	desc
T	-22.499286509	-43.163913161	800.2		
T	-22.499307759	-43.164248468	799.6		
T	-22.499326657	-43.164517721	799.3		
T	-22.499374386	-43.164997858	815.1		
T	-22.499447800	-43.165363941	826.0		
T	-22.499473905	-43.165829375	828.7		
T	-22.499503637	-43.166104153	836.1		
T	-22.499534885	-43.166443963	839.0		
T	-22.499565898	-43.166783615	841.7		
T	-22.499604169	-43.167255017	839.9		
T	-22.499672499	-43.167614077	849.6		
T	-22.499747658	-43.168040087	856.2		
T	-22.499822242	-43.168400247	865.1		
T	-22.499921984	-43.168772233	879.1		
T	-22.499972194	-43.169182128	883.5		
T	-22.500026140	-43.169496049	883.1		
T	-22.500033788	-43.169820471	886.7		
T	-22.500062178	-43.170218894	888.8		
T	-22.500084888	-43.170550371	896.2		
T	-22.500147559	-43.170900459	914.4		
T	-22.500211708	-43.171250464	928.8		
T	-22.500367209	-43.171673297	938.8		
T	-22.500427830	-43.171955603	945.0		
T	-22.500475808	-43.172295622	956.0		
T	-22.500555553	-43.172711946	964.6		
T	-22.500597225	-43.173048224	969.7		
T	-22.500657554	-43.173455196	973.8		
T	-22.500679001	-43.173718569	976.3		
T	-22.500698332	-43.174108564	976.7		
T	-22.500707855	-43.174431436	979.8		
T	-22.500721455	-43.174819547	981.6		
T	-22.500736704	-43.175144414	980.5		
T	-22.500751412	-43.175533089	979.4		
T	-22.500777142	-43.175861496	973.7		
T	-22.500791303	-43.176185863	971.6		
T	-22.500780040	-43.176630943	965.6		
T	-22.500780379	-43.177015799	959.9		
T	-22.500705450	-43.177271558	959.5		
T	-22.500660300	-43.177708865	945.1		
T	-22.500652561	-43.177900026	940.0		
T	-22.500628721	-43.178345473	925.1		
T	-22.500528426	-43.178772711	901.0		
T	-22.500459907	-43.179145537	878.8		
T	-22.500431774	-43.179333631	868.5		
T	-22.500342530	-43.179705143	850.3		
T	-22.500320316	-43.179961811	839.5		
T	-22.500269956	-43.180475584	820.2		
T	-22.500251812	-43.180997038	821.7		
T	-22.500361521	-43.181410947	836.5		
T	-22.500426769	-43.181618862	842.3		
T	-22.500556994	-43.182163362	862.8		
T	-22.500613811	-43.182433880	874.6		
T	-22.500739187	-43.182896968	879.0		
T	-22.500683607	-43.183347178	871.9		
T	-22.500654222	-43.183671334	862.3		
T	-22.500650310	-43.183933352	856.3		
T	-22.500656702	-43.184393817	854.5		
T	-22.500685366	-43.184790545	858.2		
T	-22.500699574	-43.185054730	858.6		
T	-22.500730855	-43.185451329	857.8		
T	-22.500752473	-43.185781595	860.1		
T	-22.500759089	-43.186176729	860.2		
T	-22.500773979	-43.186572572	855.9		
T	-22.500794018	-43.187034602	857.7		
T	-22.500766530	-43.187434037	862.0		
T	-22.500800749	-43.187763940	864.6		
T	-22.500860330	-43.188159369	873.3		
T	-22.500925878	-43.188487841	882.5		
T	-22.501015569	-43.188881070	897.4		
T	-22.501056300	-43.189208034	901.6		
T	-22.501093499	-43.189666597	907.3		
T	-22.501073950	-43.190194148	893.6		
T	-22.501035613	-43.190394362	882.9		
T	-22.500950400	-43.190864024	870.1		
T	-22.501021339	-43.191387195	873.2		
T	-22.501061490	-43.191647728	874.0		
T	-22.501086820	-43.191909727	876.0		
T	-22.501116653	-43.192435631	874.2		
T	-22.501108683	-43.192701581	871.9		
T	-22.501094123	-43.193101768	865.0		
T	-22.501049502	-43.193573463	850.8		
T	-22.501032159	-43.193776011	845.0		
T	-22.501026606	-43.194110142	838.7		
T	-22.501021052	-43.194444687	837.3		
T	-22.501015489	-43.194779627	833.7		
T	-22.501030878	-43.195177660	830.1		
T	-22.501040566	-43.195376374	830.7		
T	-22.501081613	-43.195769551	833.4		
T	-22.501121053	-43.196094066	837.1		
T	-22.501231213	-43.196413143	850.0		
T	-22.501298007	-43.196664262	859.7		
